loan_id,customer_id,loan_amount,loan_date,loan_status,repayment_history,interest_rate,loan_purpose,collateral,default_risk,repayment_rank
438,223,151711,2021-09-07,Defaulted,10,12.24,"Business Expansion",House,Medium,1
454,11,206552,2020-04-29,Approved,10,9.82,"Home Renovation",House,Medium,1
455,71,52101,2022-12-21,Defaulted,10,7.7,"Business Expansion",Car,Low,1
458,69,260424,2022-11-15,Rejected,10,5.22,Education,House,Medium,1
462,134,269207,2024-02-25,Rejected,10,9.4,Medical,House,High,1
473,724,391704,2020-11-05,Approved,10,9.59,Education,House,High,1
491,657,395363,2020-10-17,Closed,10,7.1,"Home Renovation",None,Medium,1
493,784,258486,2023-01-21,Defaulted,10,3.66,Medical,House,Low,1
494,767,222840,2023-04-11,Approved,10,8.68,Medical,House,High,1
516,983,402667,2021-02-12,Rejected,10,7.12,"Home Renovation",None,Low,1
525,521,47838,2023-11-12,Rejected,10,7.35,Education,House,Medium,1
534,567,231537,2020-08-09,Approved,10,10.25,"Business Expansion",Car,Medium,1
561,209,468504,2020-12-24,Rejected,10,11.16,Medical,House,Low,1
563,392,365988,2022-12-22,Approved,10,5.89,"Home Renovation",Car,Low,1
574,914,417407,2024-04-02,Closed,10,8.31,"Home Renovation",None,Medium,1
575,679,8231,2023-08-31,Approved,10,9.63,Education,Car,Medium,1
592,377,113344,2023-03-07,Rejected,10,7.68,"Business Expansion",House,Low,1
594,705,467569,2024-05-29,Closed,10,5.3,"Home Renovation",Car,High,1
620,893,365684,2020-05-07,Rejected,10,7.44,Education,House,Low,1
622,671,210461,2023-09-18,Closed,10,10.31,Education,Car,High,1
627,340,450353,2021-09-07,Defaulted,10,6.37,"Home Renovation",House,High,1
629,579,334763,2022-01-07,Defaulted,10,4.46,"Business Expansion",Car,Medium,1
636,383,277402,2024-09-03,Defaulted,10,5.94,"Business Expansion",None,High,1
637,919,61239,2020-03-09,Defaulted,10,4,"Business Expansion",None,Low,1
643,228,61978,2021-02-14,Rejected,10,7.86,"Business Expansion",House,Medium,1
665,409,455396,2024-08-23,Defaulted,10,12.47,"Business Expansion",Car,Low,1
681,822,47249,2022-12-03,Closed,10,5.57,Medical,House,Low,1
696,417,144894,2023-04-02,Defaulted,10,5.01,"Business Expansion",House,Medium,1
708,893,302299,2021-02-18,Defaulted,10,3.97,"Home Renovation",Car,Medium,1
719,411,401855,2020-01-11,Defaulted,10,5.99,Medical,Car,Low,1
722,533,92790,2020-07-04,Closed,10,11.65,"Business Expansion",Car,Medium,1
729,503,482937,2022-08-28,Defaulted,10,11.24,"Business Expansion",House,Low,1
737,508,41673,2023-07-04,Approved,10,7.09,"Home Renovation",Car,Low,1
749,729,115635,2021-02-19,Closed,10,4.13,"Home Renovation",Car,High,1
751,838,428766,2020-12-24,Closed,10,5.24,"Business Expansion",None,Low,1
754,815,115974,2022-11-11,Defaulted,10,6.11,Medical,Car,Medium,1
758,570,370438,2021-02-28,Closed,10,4.66,Education,House,Low,1
770,625,492822,2020-06-15,Defaulted,10,7.29,"Business Expansion",None,Medium,1
808,710,31941,2020-04-09,Approved,10,10.51,"Business Expansion",House,Medium,1
817,998,21500,2020-05-21,Rejected,10,6.06,Education,None,Low,1
822,493,235928,2023-06-15,Approved,10,5.23,"Business Expansion",None,Low,1
833,292,128610,2022-05-30,Rejected,10,11.89,"Business Expansion",Car,Low,1
852,8,447708,2021-06-15,Closed,10,10.57,Education,House,Medium,1
853,984,452082,2023-08-02,Closed,10,5.94,Medical,Car,High,1
872,604,8284,2022-01-10,Rejected,10,11.06,Medical,House,Low,1
877,855,395906,2024-02-25,Rejected,10,4.91,"Home Renovation",None,Low,1
879,633,220856,2022-05-28,Rejected,10,5.1,Education,House,High,1
885,93,436167,2020-10-04,Approved,10,10.55,Medical,House,High,1
895,423,96353,2023-10-05,Approved,10,12.4,"Home Renovation",House,Low,1
896,825,101297,2024-05-17,Approved,10,7.75,"Business Expansion",None,High,1
903,363,94147,2022-07-11,Rejected,10,7.6,"Business Expansion",Car,Medium,1
907,221,284233,2024-07-16,Approved,10,11.73,"Home Renovation",House,High,1
913,235,40186,2021-08-17,Rejected,10,11.61,"Business Expansion",None,Medium,1
915,586,449536,2021-08-18,Closed,10,7.4,"Home Renovation",Car,Medium,1
922,328,282170,2021-01-04,Defaulted,10,9.92,Medical,Car,Medium,1
969,173,112480,2020-03-14,Defaulted,10,12.39,Medical,House,Medium,1
970,26,205973,2019-12-29,Rejected,10,6.16,"Business Expansion",Car,High,1
977,710,40694,2020-03-06,Rejected,10,10.71,"Home Renovation",None,Low,1
993,407,329259,2021-09-02,Rejected,10,10.59,"Business Expansion",House,Medium,1
1004,909,367168,2020-01-22,Rejected,10,3.94,"Home Renovation",House,Low,1
1011,849,468035,2021-04-16,Defaulted,10,9.61,"Home Renovation",Car,High,1
1023,940,436688,2020-08-24,Rejected,10,3.6,"Business Expansion",Car,High,1
1027,916,482021,2022-03-20,Closed,10,12.36,"Home Renovation",House,Medium,1
1033,100,429801,2024-02-17,Closed,10,5.13,"Home Renovation",None,High,1
1041,73,137230,2024-01-07,Rejected,10,12.27,"Business Expansion",Car,Medium,1
1056,588,410843,2022-12-16,Rejected,10,4.71,"Home Renovation",None,Medium,1
1076,519,370080,2020-04-16,Closed,10,6.7,"Business Expansion",House,Low,1
1079,143,222403,2024-05-27,Approved,10,8.15,Medical,Car,Low,1
1087,648,373055,2021-02-05,Approved,10,4.88,Medical,House,High,1
1088,392,285985,2022-11-03,Defaulted,10,7.32,Education,House,High,1
1120,803,263200,2020-09-18,Defaulted,10,8.32,"Home Renovation",None,Low,1
1126,859,435879,2023-12-23,Closed,10,6.77,"Business Expansion",None,High,1
1129,991,157284,2022-02-01,Rejected,10,11.98,"Business Expansion",House,High,1
1130,39,311026,2020-11-08,Defaulted,10,9.87,Education,Car,Low,1
1134,988,197922,2023-03-07,Closed,10,8.82,Education,House,High,1
1138,52,240832,2022-12-05,Closed,10,7.62,"Business Expansion",House,Medium,1
1149,469,36763,2023-01-27,Approved,10,6.73,Education,None,Medium,1
1153,307,480061,2024-04-04,Rejected,10,10.47,Medical,House,High,1
1160,361,161634,2022-12-30,Defaulted,10,11.58,Education,Car,Low,1
1184,989,171867,2023-12-08,Defaulted,10,5.37,"Home Renovation",None,High,1
1191,6,241335,2021-08-27,Defaulted,10,9.49,Education,None,Medium,1
1200,629,287616,2021-03-08,Defaulted,10,10.13,Education,None,High,1
1204,24,326241,2022-08-01,Approved,10,9.4,Medical,Car,Low,1
1215,682,47105,2020-03-11,Approved,10,7.95,Medical,Car,High,1
1217,58,377692,2021-05-07,Approved,10,4.17,"Business Expansion",Car,High,1
1236,62,277793,2021-12-27,Closed,10,4.64,"Business Expansion",House,Low,1
1237,73,444798,2023-04-24,Closed,10,4.04,"Home Renovation",House,Medium,1
1247,440,422806,2020-11-07,Closed,10,4.58,Education,Car,High,1
1252,560,389664,2021-10-23,Closed,10,8.75,Medical,Car,Medium,1
1259,389,19186,2021-03-03,Defaulted,10,5.5,Medical,Car,Medium,1
1269,889,138555,2024-08-16,Approved,10,10.69,"Home Renovation",House,High,1
1274,665,476971,2023-03-02,Closed,10,11.82,Medical,House,High,1
1293,128,121631,2020-09-02,Defaulted,10,5.97,Education,None,Low,1
1294,756,201070,2023-09-03,Closed,10,3.92,"Home Renovation",House,High,1
1305,533,240186,2022-01-04,Defaulted,10,7.33,"Home Renovation",Car,Medium,1
1326,940,306017,2020-04-18,Approved,10,4.02,"Business Expansion",Car,Medium,1
1329,578,200800,2024-07-22,Defaulted,10,8.66,"Home Renovation",None,Low,1
1332,577,362633,2024-03-09,Rejected,10,11.01,"Home Renovation",Car,High,1
1344,26,450269,2019-12-16,Rejected,10,12.35,"Home Renovation",None,Medium,1
1352,563,29614,2024-10-31,Rejected,10,5.42,"Home Renovation",Car,Low,1
1354,538,189581,2024-09-17,Approved,10,8.23,Medical,None,High,1
1363,755,415459,2023-05-10,Closed,10,3.57,Education,Car,High,1
1369,115,254621,2021-05-17,Rejected,10,11.98,Medical,None,Medium,1
1374,795,280027,2023-10-10,Closed,10,9.39,"Business Expansion",House,Medium,1
1378,478,442169,2020-08-16,Defaulted,10,9.58,"Home Renovation",None,Low,1
1379,956,419330,2021-08-08,Rejected,10,9.12,Medical,House,Medium,1
1400,171,126781,2023-03-11,Closed,10,6.4,"Business Expansion",Car,High,1
1403,774,82116,2023-07-24,Defaulted,10,10.87,"Business Expansion",None,High,1
1406,268,395554,2023-09-29,Approved,10,11.5,"Business Expansion",House,Low,1
1414,663,82767,2024-06-20,Defaulted,10,9.04,"Home Renovation",None,Low,1
1443,791,415845,2024-08-22,Rejected,10,12.29,Medical,None,Medium,1
1451,489,465961,2023-08-20,Approved,10,11.79,Education,House,High,1
1466,434,444271,2021-10-21,Rejected,10,4.04,Medical,Car,Medium,1
1467,52,202143,2021-10-02,Approved,10,8.97,Education,None,Medium,1
1473,540,494274,2024-09-18,Approved,10,8.7,Medical,House,Low,1
1478,994,479272,2023-03-06,Defaulted,10,10.58,Medical,Car,Medium,1
1481,220,25933,2023-03-09,Closed,10,8.6,"Home Renovation",None,Medium,1
1488,566,45512,2022-07-10,Defaulted,10,9.87,Education,Car,High,1
1493,286,406214,2019-12-22,Closed,10,11.51,Education,None,High,1
1496,578,52670,2022-04-05,Closed,10,6.27,Education,Car,High,1
1497,322,366967,2023-02-09,Defaulted,10,9.35,"Home Renovation",Car,High,1
1501,2,107613,2020-08-08,Rejected,10,10.2,"Business Expansion",None,High,1
1502,487,497380,2022-01-27,Rejected,10,5.39,Education,Car,Low,1
1507,707,113794,2022-01-24,Approved,10,9.18,Medical,Car,Low,1
1530,229,356035,2024-10-31,Defaulted,10,8.12,Medical,None,Medium,1
1531,42,45578,2020-08-03,Approved,10,8.08,Medical,None,High,1
1533,743,379492,2022-12-26,Approved,10,8.16,Medical,Car,High,1
1551,568,300908,2020-07-15,Defaulted,10,12.42,Education,Car,High,1
1563,157,386109,2023-10-14,Rejected,10,11.41,"Business Expansion",Car,Medium,1
1571,793,323428,2024-03-26,Approved,10,10.56,Medical,None,Low,1
1598,865,224249,2020-04-01,Defaulted,10,11.24,"Home Renovation",House,Medium,1
1602,306,458769,2020-07-31,Approved,10,7.93,"Business Expansion",House,Low,1
1618,71,493222,2021-03-22,Rejected,10,9.99,"Home Renovation",None,Low,1
1630,241,468229,2021-11-14,Approved,10,7.09,"Business Expansion",House,High,1
1677,52,56719,2023-07-28,Defaulted,10,7.12,Medical,House,Low,1
1679,678,464261,2022-12-25,Defaulted,10,7.3,Education,House,Low,1
1712,177,412168,2021-02-03,Approved,10,11.99,"Business Expansion",Car,Medium,1
1719,240,479465,2022-03-20,Rejected,10,9.36,Education,Car,High,1
1725,957,305316,2021-10-28,Rejected,10,11.19,"Business Expansion",Car,Low,1
1726,1000,202918,2020-07-05,Defaulted,10,7.21,"Home Renovation",House,Medium,1
1730,859,41097,2021-07-29,Rejected,10,11.49,Education,None,High,1
1733,170,311658,2022-04-04,Rejected,10,11.32,Medical,House,High,1
1734,621,399410,2021-04-01,Rejected,10,9.51,"Business Expansion",None,Low,1
1741,669,429659,2024-08-17,Rejected,10,5.73,"Business Expansion",House,High,1
1749,593,464568,2022-07-17,Rejected,10,5.62,"Business Expansion",House,High,1
1757,124,17798,2023-02-06,Rejected,10,10.59,"Home Renovation",None,Low,1
1773,922,95844,2021-05-19,Approved,10,11.36,"Home Renovation",Car,High,1
1779,277,145474,2022-09-01,Defaulted,10,9.04,"Business Expansion",House,Low,1
1785,533,74343,2024-03-28,Defaulted,10,10.1,Medical,None,High,1
1817,564,191373,2024-11-06,Defaulted,10,5.57,"Business Expansion",House,High,1
1819,111,441885,2021-09-25,Defaulted,10,9.18,Medical,House,High,1
1821,990,160937,2020-02-01,Approved,10,12.2,"Business Expansion",House,High,1
1832,918,116394,2020-06-19,Closed,10,3.67,Medical,Car,Low,1
1847,105,140398,2020-04-07,Defaulted,10,8.33,Medical,None,High,1
1867,411,184880,2021-10-15,Rejected,10,9.09,"Business Expansion",Car,Low,1
1874,975,169808,2022-11-21,Closed,10,9.94,"Business Expansion",Car,Medium,1
1878,992,447828,2020-12-26,Defaulted,10,11.8,"Business Expansion",Car,Low,1
1882,17,157204,2024-09-11,Defaulted,10,9.98,Education,Car,Low,1
1890,658,358864,2021-10-31,Rejected,10,7.12,Education,House,High,1
1892,659,404147,2023-03-12,Approved,10,5.88,"Home Renovation",House,Medium,1
1895,531,212540,2023-02-18,Closed,10,7.74,"Home Renovation",House,High,1
1951,398,338547,2020-07-29,Closed,10,8.04,"Home Renovation",House,Low,1
1952,840,184628,2022-02-22,Defaulted,10,6.17,Medical,House,Medium,1
1962,602,192104,2024-06-22,Rejected,10,10.73,"Home Renovation",Car,Low,1
1966,898,377752,2024-11-26,Closed,10,7.97,"Home Renovation",Car,Low,1
1975,693,288428,2023-06-09,Defaulted,10,4.61,Education,None,High,1
1983,494,356160,2022-05-27,Rejected,10,8.74,Education,None,High,1
1984,710,98007,2022-07-24,Defaulted,10,10.88,Education,None,Medium,1
2004,371,211155,2023-05-04,Rejected,10,8.49,"Business Expansion",Car,High,1
2017,312,192477,2023-07-26,Rejected,10,7.11,Medical,House,Low,1
2019,10,8605,2020-12-18,Approved,10,4.61,Medical,Car,Medium,1
2033,398,72547,2020-10-04,Defaulted,10,3.83,Medical,None,High,1
2040,73,444133,2023-11-27,Rejected,10,8.59,Education,House,Low,1
2057,177,302818,2023-08-21,Closed,10,9.4,"Home Renovation",Car,Low,1
2065,775,148136,2020-09-16,Approved,10,3.61,Medical,None,Low,1
2093,775,33650,2021-05-13,Closed,10,7.48,Medical,Car,High,1
2095,578,28435,2022-01-12,Defaulted,10,11.08,"Home Renovation",None,High,1
2109,371,206359,2022-11-24,Approved,10,7.33,"Business Expansion",None,High,1
2122,52,35527,2024-07-19,Approved,10,11.06,Education,Car,Low,1
2123,885,89079,2021-06-07,Approved,10,11.3,Education,Car,High,1
2130,732,135205,2022-04-18,Defaulted,10,5.85,"Home Renovation",Car,Low,1
2148,782,465878,2024-02-29,Closed,10,5.8,Medical,Car,Medium,1
2159,298,237929,2020-09-27,Rejected,10,12.1,"Home Renovation",House,High,1
2165,439,82907,2022-02-08,Closed,10,10.24,Medical,Car,High,1
2178,50,275050,2022-01-02,Defaulted,10,5.59,Education,None,High,1
2187,208,290837,2022-06-17,Rejected,10,9.34,Medical,None,Medium,1
2220,176,126233,2022-07-21,Defaulted,10,3.57,Medical,Car,Medium,1
2232,821,448314,2020-05-23,Closed,10,7.85,"Home Renovation",House,High,1
2234,334,460552,2020-06-14,Rejected,10,5.69,Education,Car,High,1
2258,974,128780,2021-07-09,Rejected,10,7.3,Education,Car,High,1
2289,872,63671,2024-07-10,Approved,10,5.13,"Business Expansion",Car,Low,1
2290,63,77100,2022-09-30,Closed,10,7.44,Medical,House,Medium,1
2291,152,106886,2021-07-28,Defaulted,10,11.82,"Business Expansion",House,Medium,1
2293,834,295729,2019-12-31,Defaulted,10,7.26,"Business Expansion",None,Low,1
2300,633,42533,2020-09-04,Approved,10,11.5,"Business Expansion",Car,Low,1
2306,335,246089,2023-07-27,Closed,10,8.89,"Business Expansion",House,Medium,1
2307,507,82009,2024-09-14,Approved,10,4.79,Education,None,Low,1
2329,971,12164,2022-02-07,Closed,10,8.75,"Home Renovation",None,Medium,1
2330,626,228678,2020-08-06,Rejected,10,3.94,"Business Expansion",None,Low,1
2342,105,439779,2022-08-15,Approved,10,10.57,"Home Renovation",House,Medium,1
2377,512,91370,2021-11-02,Defaulted,10,6.51,"Home Renovation",Car,Medium,1
2390,764,173363,2021-02-03,Defaulted,10,6.99,Medical,None,High,1
2391,92,192561,2023-07-15,Rejected,10,11.38,"Business Expansion",House,High,1
2412,918,317566,2023-10-07,Closed,10,5.48,"Home Renovation",None,High,1
2467,936,367024,2020-01-25,Approved,10,5.9,Medical,None,Low,1
2470,90,285014,2023-01-09,Approved,10,11.52,"Home Renovation",Car,High,1
2474,439,213111,2022-02-07,Rejected,10,9.95,"Home Renovation",House,Medium,1
2478,824,82981,2022-11-20,Approved,10,5.38,Education,House,Medium,1
2484,682,401761,2020-11-17,Closed,10,7.84,"Business Expansion",Car,Medium,1
2490,614,497811,2023-12-01,Closed,10,4.94,Education,House,High,1
2496,385,253745,2023-10-31,Defaulted,10,12.27,"Business Expansion",House,High,1
2501,483,151085,2022-09-19,Closed,10,3.6,"Home Renovation",Car,Low,1
2504,705,468712,2023-08-23,Defaulted,10,4.56,Education,House,Medium,1
2505,990,102111,2021-01-12,Rejected,10,3.91,Medical,House,Low,1
2509,910,246434,2021-06-02,Rejected,10,4.5,"Business Expansion",House,High,1
2524,690,435091,2022-06-06,Approved,10,8.12,Education,House,Low,1
2526,394,131490,2022-10-08,Rejected,10,5.44,"Home Renovation",House,High,1
2530,578,133023,2020-05-24,Approved,10,7.44,"Business Expansion",Car,High,1
2540,205,493873,2022-09-16,Rejected,10,9.09,Education,None,High,1
2541,234,426183,2020-10-18,Defaulted,10,11.52,"Home Renovation",None,Medium,1
2545,43,292439,2021-04-11,Approved,10,3.52,Education,Car,Low,1
2547,742,62818,2022-03-11,Rejected,10,3.53,Education,None,Low,1
2559,202,470726,2020-08-15,Approved,10,8.79,"Home Renovation",Car,High,1
2562,786,231925,2024-05-13,Closed,10,8.17,"Home Renovation",House,Low,1
2566,676,299046,2022-11-18,Approved,10,5.59,Education,Car,Medium,1
2569,965,246401,2023-08-06,Closed,10,10.53,Medical,House,High,1
2586,254,169995,2022-03-31,Defaulted,10,6.22,"Home Renovation",Car,High,1
2611,447,165489,2021-04-03,Closed,10,7.91,"Business Expansion",House,Low,1
2623,879,451413,2021-03-05,Rejected,10,7.85,Education,None,Medium,1
2628,639,495641,2022-03-03,Rejected,10,10.45,"Business Expansion",House,Low,1
2646,384,465353,2023-04-11,Rejected,10,6.17,"Home Renovation",None,Medium,1
2662,877,439369,2020-05-29,Closed,10,8.7,Medical,None,High,1
2664,988,244500,2024-01-02,Approved,10,3.62,Education,None,Low,1
2665,64,319951,2021-06-17,Defaulted,10,6.94,Medical,House,High,1
2671,261,309919,2020-02-03,Defaulted,10,5.12,"Home Renovation",Car,Medium,1
2674,313,440489,2021-01-15,Closed,10,7.03,"Home Renovation",House,Low,1
2682,135,353625,2022-11-03,Rejected,10,8.96,"Home Renovation",None,Medium,1
2685,129,432840,2024-04-23,Closed,10,8.9,"Business Expansion",Car,Low,1
2694,499,147450,2021-11-30,Rejected,10,10.42,Medical,House,High,1
2697,70,496637,2022-04-09,Approved,10,8.46,"Business Expansion",Car,High,1
2728,564,275003,2020-01-15,Rejected,10,4.95,"Business Expansion",House,High,1
2732,213,111117,2020-08-19,Closed,10,8.71,Education,House,Medium,1
2737,582,356764,2023-08-31,Defaulted,10,5.62,"Business Expansion",House,Medium,1
2738,508,170825,2020-04-29,Defaulted,10,11.66,Medical,House,Low,1
2755,300,64047,2019-12-11,Rejected,10,6.33,Education,None,Medium,1
2773,633,464658,2023-07-18,Approved,10,11.53,Education,House,High,1
4,352,348100,2023-01-13,Closed,9,4.85,Education,House,Low,314
5,650,114287,2020-02-17,Approved,9,4.39,"Business Expansion",House,High,314
6,274,260273,2024-04-23,Closed,9,6.39,Medical,House,Low,314
13,29,174410,2020-12-11,Closed,9,6.84,"Home Renovation",House,Medium,314
17,280,163967,2021-03-26,Approved,9,8.38,"Home Renovation",None,High,314
25,830,289037,2022-04-14,Approved,9,6.31,"Home Renovation",House,Low,314
35,406,273681,2020-01-31,Closed,9,11.89,"Home Renovation",Car,Low,314
48,103,59018,2020-10-27,Defaulted,9,9.96,"Home Renovation",Car,High,314
54,279,439398,2022-03-11,Closed,9,9.32,Medical,House,Medium,314
57,154,291064,2022-02-12,Rejected,9,9.19,"Home Renovation",House,High,314
63,847,333825,2024-11-07,Approved,9,7,"Business Expansion",Car,Medium,314
67,922,144058,2020-02-10,Defaulted,9,10.75,"Home Renovation",House,Medium,314
74,525,281533,2024-08-24,Closed,9,8.61,Medical,Car,Medium,314
134,335,178881,2023-05-04,Defaulted,9,9.13,Medical,Car,Low,314
190,901,143529,2023-03-11,Approved,9,4.09,"Home Renovation",Car,High,314
201,165,397156,2020-02-24,Defaulted,9,12.31,"Business Expansion",None,Low,314
205,339,91925,2020-08-18,Closed,9,9.84,"Business Expansion",None,High,314
209,297,112661,2020-06-27,Closed,9,12.35,"Business Expansion",House,Low,314
210,866,491203,2024-09-23,Closed,9,7.59,"Business Expansion",None,Medium,314
214,938,431326,2022-06-16,Defaulted,9,3.65,"Business Expansion",Car,High,314
222,69,212399,2022-04-01,Closed,9,5.97,Medical,Car,Low,314
231,43,185689,2023-06-25,Approved,9,4.88,"Home Renovation",Car,Medium,314
233,888,126437,2022-01-30,Defaulted,9,8.3,Medical,None,Medium,314
259,981,378148,2024-06-15,Approved,9,11.65,Education,Car,Low,314
264,436,198542,2021-05-19,Defaulted,9,6.82,Medical,House,Low,314
265,271,385207,2022-06-03,Approved,9,7.29,"Home Renovation",House,High,314
286,187,257193,2020-11-28,Rejected,9,4.26,Education,None,High,314
288,764,334820,2023-01-26,Defaulted,9,6.14,"Business Expansion",None,High,314
308,159,307835,2024-06-26,Defaulted,9,4.2,"Business Expansion",Car,Low,314
319,26,242606,2021-05-27,Approved,9,3.73,"Home Renovation",House,Medium,314
328,632,6280,2022-04-03,Approved,9,11.29,Education,House,High,314
331,404,364483,2022-01-17,Defaulted,9,8.12,Medical,House,Medium,314
339,15,78179,2020-09-13,Rejected,9,5.35,Education,None,Low,314
340,535,461241,2021-02-20,Defaulted,9,9.84,Education,House,High,314
342,210,265956,2021-07-27,Closed,9,9.8,Medical,Car,Medium,314
391,590,271244,2022-10-30,Approved,9,10.76,"Business Expansion",Car,Low,314
404,555,324378,2023-05-23,Defaulted,9,9.62,"Home Renovation",House,High,314
406,407,52015,2022-10-26,Defaulted,9,5.39,Education,House,Low,314
408,638,222564,2021-02-14,Closed,9,9.39,"Business Expansion",House,Low,314
409,519,386598,2022-11-19,Defaulted,9,6.89,Education,House,Medium,314
417,101,367243,2021-10-03,Rejected,9,7.17,"Business Expansion",House,Medium,314
437,444,37050,2021-08-24,Approved,9,3.73,"Home Renovation",Car,Medium,314
442,511,117431,2021-12-18,Closed,9,5.89,Medical,House,Low,314
450,984,207748,2022-09-22,Closed,9,9.03,"Business Expansion",None,Medium,314
459,474,53433,2022-10-14,Defaulted,9,10.48,"Home Renovation",House,Low,314
